Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
18 01-31 499 08-701 0.5752 0.4248 0.0000 0.2124
18 01-31 550 20-05 0.3241 0.6759 0.0000 0.3380
18 01-31 840 08-25 0.3625 0.6375 0.0000 0.3188
18 01-31 862 08-495 0.4904 0.5096 0.0000 0.2548
18 01-31 1094 08-86 0.4626 0.5374 0.0000 0.2687
19 01-33 274 07-04d 0.3740 0.6260 0.0000 0.3130
19 01-33 453 08-123 0.3357 0.6643 0.0000 0.3321
19 01-33 499 08-701 0.5891 0.4109 0.0000 0.2054
19 01-33 550 20-05 0.3218 0.6782 0.0000 0.3391
19 01-33 840 08-25 0.3477 0.6523 0.0000 0.3261
19 01-33 862 08-495 0.4771 0.5229 0.0000 0.2615
19 01-33 1094 08-86 0.5175 0.4825 0.0000 0.2412
20 01-34 274 07-04d 0.3605 0.6395 0.0000 0.3197
20 01-34 453 08-123 0.3206 0.6794 0.0000 0.3397
20 01-34 499 08-701 0.5858 0.4142 0.0000 0.2071
20 01-34 550 20-05 0.2987 0.7013 0.0000 0.3507
20 01-34 840 08-25 0.3590 0.6410 0.0000 0.3205
20 01-34 862 08-495 0.4994 0.5006 0.0000 0.2503
20 01-34 1094 08-86 0.4793 0.5207 0.0000 0.2604
21 01-36 274 07-04d 0.3270 0.6730 0.0000 0.3365
21 01-36 453 08-123 0.3149 0.6851 0.0000 0.3426
21 01-36 499 08-701 0.5923 0.4077 0.0000 0.2039
21 01-36 550 20-05 0.3031 0.6969 0.0000 0.3485
21 01-36 840 08-25 0.3319 0.6681 0.0000 0.3340
21 01-36 862 08-495 0.4937 0.5063 0.0000 0.2531
21 01-36 1094 08-86 0.4662 0.5338 0.0000 0.2669
22 01-38 274 07-04d 0.3287 0.6713 0.0000 0.3357
22 01-38 453 08-123 0.3083 0.6917 0.0000 0.3459
22 01-38 499 08-701 0.5978 0.4022 0.0000 0.2011
22 01-38 550 20-05 0.3058 0.6942 0.0000 0.3471
22 01-38 840 08-25 0.3428 0.6572 0.0000 0.3286
22 01-38 862 08-495 0.4923 0.5077 0.0000 0.2538
22 01-38 1094 08-86 0.4493 0.5507 0.0000 0.2754
23 03-66 274 07-04d 0.3472 0.6528 0.0000 0.3264
23 03-66 453 08-123 0.3141 0.6859 0.0000 0.3430
23 03-66 499 08-701 0.6007 0.3993 0.0000 0.1996
23 03-66 550 20-05 0.3164 0.6836 0.0000 0.3418
23 03-66 840 08-25 0.3548 0.6452 0.0000 0.3226
23 03-66 862 08-495 0.5084 0.4916 0.0000 0.2458
23 03-66 1094 08-86 0.4562 0.5438 0.0000 0.2719
24 08-130 274 07-04d 0.3763 0.6237 0.0000 0.3118
24 08-130 453 08-123 0.3471 0.6529 0.0000 0.3264
24 08-130 499 08-701 0.6192 0.3808 0.0000 0.1904
24 08-130 550 20-05 0.3290 0.6710 0.0000 0.3355
24 08-130 840 08-25 0.3551 0.6449 0.0000 0.3224
24 08-130 862 08-495 0.4886 0.5114 0.0000 0.2557
24 08-130 1094 08-86 0.4785 0.5215 0.0000 0.2607
25 08-132 274 07-04d 0.3389 0.6611 0.0000 0.3305
25 08-132 453 08-123 0.3002 0.6998 0.0000 0.3499
25 08-132 499 08-701 0.5943 0.4057 0.0000 0.2029
25 08-132 550 20-05 0.3113 0.6887 0.0000 0.3443
25 08-132 840 08-25 0.3427 0.6573 0.0000 0.3286
25 08-132 862 08-495 0.4742 0.5258 0.0000 0.2629
25 08-132 1094 08-86 0.4598 0.5402 0.0000 0.2701
26 08-134 274 07-04d 0.3629 0.6371 0.0000 0.3186
26 08-134 453 08-123 0.3174 0.6826 0.0000 0.3413
26 08-134 499 08-701 0.5787 0.4213 0.0000 0.2107
26 08-134 550 20-05 0.3105 0.6895 0.0000 0.3448
26 08-134 840 08-25 0.3409 0.6591 0.0000 0.3296
26 08-134 862 08-495 0.4788 0.5212 0.0000 0.2606
26 08-134 1094 08-86 0.4526 0.5474 0.0000 0.2737
27 08-135 274 07-04d 0.3326 0.6674 0.0000 0.3337
27 08-135 453 08-123 0.3255 0.6745 0.0000 0.3373
27 08-135 499 08-701 0.5886 0.4114 0.0000 0.2057
27 08-135 550 20-05 0.3157 0.6843 0.0000 0.3421
27 08-135 840 08-25 0.3512 0.6488 0.0000 0.3244
27 08-135 862 08-495 0.4983 0.5017 0.0000 0.2508
27 08-135 1094 08-86 0.4662 0.5338 0.0000 0.2669
28 08-136 274 07-04d 0.3286 0.6714 0.0000 0.3357
28 08-136 453 08-123 0.3107 0.6893 0.0000 0.3447
28 08-136 499 08-701 0.5982 0.4018 0.0000 0.2009
28 08-136 550 20-05 0.3097 0.6903 0.0000 0.3452
28 08-136 840 08-25 0.3295 0.6705 0.0000 0.3353
28 08-136 862 08-495 0.4831 0.5169 0.0000 0.2585
28 08-136 1094 08-86 0.4599 0.5401 0.0000 0.2700
29 08-138 271 08-128 0.6849 0.3151 0.0000 0.1575
29 08-138 274 07-04d 0.3536 0.6464 0.0000 0.3232
