Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
453 08-123 1017 03-38 0.2926 0.7074 0.0000 0.3537
453 08-123 1018 08-162 0.3226 0.6774 0.0000 0.3387
453 08-123 1019 05-210 0.3209 0.6791 0.0000 0.3395
453 08-123 1020 02-56 0.3026 0.6974 0.0000 0.3487
453 08-123 1021 08-729 0.3111 0.6889 0.0000 0.3445
453 08-123 1022 08-158 0.3109 0.6891 0.0000 0.3446
453 08-123 1023 08-275 0.3175 0.6825 0.0000 0.3412
453 08-123 1024 08-276 0.3353 0.6647 0.0000 0.3324
453 08-123 1025 08-824 0.3185 0.6815 0.0000 0.3407
453 08-123 1026 08-118 0.3207 0.6793 0.0000 0.3396
453 08-123 1027 08-203 0.3268 0.6732 0.0000 0.3366
453 08-123 1028 08-465 0.3042 0.6958 0.0000 0.3479
453 08-123 1029 02-70 0.3322 0.6678 0.0000 0.3339
453 08-123 1031 08-447 0.2934 0.7066 0.0000 0.3533
453 08-123 1032 09-89 0.3320 0.6680 0.0000 0.3340
453 08-123 1033 04-33 0.3227 0.6773 0.0000 0.3386
453 08-123 1034 08-94 0.3167 0.6833 0.0000 0.3416
453 08-123 1035 08-480 0.2921 0.7079 0.0000 0.3539
453 08-123 1036 08-43 0.3098 0.6902 0.0000 0.3451
453 08-123 1037 05-211 0.3079 0.6921 0.0000 0.3460
453 08-123 1038 08-176╨Ñ-00006 0.3141 0.6859 0.0000 0.3430
453 08-123 1039 08-65 0.3146 0.6854 0.0000 0.3427
453 08-123 1040 03-94-09 0.3026 0.6974 0.0000 0.3487
453 08-123 1041 08-172 0.3044 0.6956 0.0000 0.3478
453 08-123 1044 08-90 0.3217 0.6783 0.0000 0.3391
453 08-123 1045 03-33 0.3201 0.6799 0.0000 0.3400
453 08-123 1046 08-173 0.3153 0.6847 0.0000 0.3423
453 08-123 1047 08-628 0.3208 0.6792 0.0000 0.3396
453 08-123 1048 08-157 0.2974 0.7026 0.0000 0.3513
453 08-123 1049 02-100 0.3609 0.6391 0.0000 0.3196
453 08-123 1050 02-98 0.3226 0.6774 0.0000 0.3387
453 08-123 1051 05-207 0.2852 0.7148 0.0000 0.3574
453 08-123 1052 04-30 0.3082 0.6918 0.0000 0.3459
453 08-123 1053 08-188 0.3002 0.6998 0.0000 0.3499
453 08-123 1056 02-53 0.3104 0.6896 0.0000 0.3448
453 08-123 1057 01-67 0.3264 0.6736 0.0000 0.3368
453 08-123 1058 08-98 0.3050 0.6950 0.0000 0.3475
453 08-123 1059 02-85 0.3102 0.6898 0.0000 0.3449
453 08-123 1060 08-733 0.3077 0.6923 0.0000 0.3461
453 08-123 1061 08-608 0.2983 0.7017 0.0000 0.3509
453 08-123 1062 08-91 0.3464 0.6536 0.0000 0.3268
453 08-123 1063 08-448 0.3137 0.6863 0.0000 0.3432
453 08-123 1064 04-35 0.3142 0.6858 0.0000 0.3429
453 08-123 1066 02-105 0.3108 0.6892 0.0000 0.3446
453 08-123 1067 08-563 0.3235 0.6765 0.0000 0.3383
453 08-123 1069 08-50 0.3114 0.6886 0.0000 0.3443
453 08-123 1070 08-117 0.3254 0.6746 0.0000 0.3373
453 08-123 1071 08-185 0.3249 0.6751 0.0000 0.3375
453 08-123 1072 08-171 0.3268 0.6732 0.0000 0.3366
453 08-123 1073 08-178 0.2961 0.7039 0.0000 0.3520
453 08-123 1074 02-101 0.3143 0.6857 0.0000 0.3429
453 08-123 1075 08-93 0.3194 0.6806 0.0000 0.3403
453 08-123 1076 08-234 0.3193 0.6807 0.0000 0.3403
453 08-123 1077 08-565 0.3175 0.6825 0.0000 0.3412
453 08-123 1078 08-558 0.3054 0.6946 0.0000 0.3473
453 08-123 1079 08-227 0.3071 0.6929 0.0000 0.3465
453 08-123 1080 08-184 0.3109 0.6891 0.0000 0.3446
453 08-123 1082 08-88 0.3145 0.6855 0.0000 0.3428
453 08-123 1083 08-51 0.3011 0.6989 0.0000 0.3495
453 08-123 1084 08-620 0.3260 0.6740 0.0000 0.3370
453 08-123 1085 08-243 0.3103 0.6897 0.0000 0.3448
453 08-123 1086 04-32 0.3132 0.6868 0.0000 0.3434
453 08-123 1087 03-93-09 0.3144 0.6856 0.0000 0.3428
453 08-123 1088 08-95 0.2984 0.7016 0.0000 0.3508
453 08-123 1089 08-110 0.3694 0.6306 0.0000 0.3153
453 08-123 1090 08-551 0.3272 0.6728 0.0000 0.3364
453 08-123 1091 08-560 0.3192 0.6808 0.0000 0.3404
453 08-123 1092 08-553 0.3045 0.6955 0.0000 0.3477
453 08-123 1093 08-596 0.2820 0.7180 0.0000 0.3590
453 08-123 1094 08-86 0.1389 0.8547 0.0064 0.4337
453 08-123 1095 08-613 0.3242 0.6758 0.0000 0.3379
453 08-123 1096 08-719 0.3040 0.6960 0.0000 0.3480
453 08-123 1097 08-727 0.3179 0.6821 0.0000 0.3411
453 08-123 1098 08-120 0.3024 0.6976 0.0000 0.3488
453 08-123 1099 08-446 0.2958 0.7042 0.0000 0.3521
453 08-123 1100 08-590 0.3153 0.6847 0.0000 0.3423
453 08-123 1101 08-713 0.3508 0.6492 0.0000 0.3246
453 08-123 1102 20-06m 0.3385 0.6615 0.0000 0.3307
453 08-123 1103 20-08 0.0000 0.3499 0.6501 0.8251
453 08-123 1153 08-523 0.3409 0.6591 0.0000 0.3295
453 08-123 1154 08-534 0.3080 0.6920 0.0000 0.3460
453 08-123 1155 08-55 0.3111 0.6889 0.0000 0.3444
453 08-123 1156 08-550 0.3042 0.6958 0.0000 0.3479
453 08-123 1157 08-56 0.3144 0.6856 0.0000 0.3428
453 08-123 1158 08-562 0.3041 0.6959 0.0000 0.3480
453 08-123 1164 08-665 0.3011 0.6989 0.0000 0.3494
453 08-123 1165 08-667 0.3255 0.6745 0.0000 0.3373
453 08-123 1166 08-701d 0.2944 0.7056 0.0000 0.3528
453 08-123 1167 08-702 0.2935 0.7065 0.0000 0.3533
453 08-123 1168 08-705 0.3132 0.6868 0.0000 0.3434
453 08-123 1169 08-719d 0.3059 0.6941 0.0000 0.3471
453 08-123 1170 08-742 0.2935 0.7065 0.0000 0.3532
453 08-123 1200 13-03 0.3647 0.6353 0.0000 0.3177
453 08-123 1201 13-40 0.3202 0.6798 0.0000 0.3399
453 08-123 1202 13-43 0.3171 0.6829 0.0000 0.3415
453 08-123 1203 13-11 0.3328 0.6672 0.0000 0.3336
453 08-123 1204 13-26 0.3134 0.6866 0.0000 0.3433
453 08-123 1205 13-36 0.3252 0.6748 0.0000 0.3374
453 08-123 1206 13-05 0.3095 0.6905 0.0000 0.3453
453 08-123 1207 13-21 0.3490 0.6510 0.0000 0.3255
453 08-123 1208 13-04 0.3094 0.6906 0.0000 0.3453
453 08-123 1209 13-63 0.3727 0.6273 0.0000 0.3136
453 08-123 1210 13-34 0.3781 0.6219 0.0000 0.3109
453 08-123 1211 13-64 0.3164 0.6836 0.0000 0.3418
453 08-123 1212 13-12 0.3430 0.6570 0.0000 0.3285
453 08-123 1213 13-35 0.3051 0.6949 0.0000 0.3475
453 08-123 1214 13-68 0.3448 0.6552 0.0000 0.3276
453 08-123 1215 13-08 0.3094 0.6906 0.0000 0.3453
453 08-123 1216 13-07 0.3171 0.6829 0.0000 0.3414
453 08-123 1217 03-80 0.3049 0.6951 0.0000 0.3475
453 08-123 1218 13-25 0.3144 0.6856 0.0000 0.3428
453 08-123 1219 01-74 0.3161 0.6839 0.0000 0.3420
453 08-123 1220 13-06 0.3475 0.6525 0.0000 0.3263
453 08-123 1221 13-37 0.3274 0.6726 0.0000 0.3363
453 08-123 1222 13-60 0.3298 0.6702 0.0000 0.3351
453 08-123 1223 13-57 0.3245 0.6755 0.0000 0.3378
453 08-123 1224 08-402 0.3003 0.6997 0.0000 0.3499
453 08-123 1225 13-52 0.3162 0.6838 0.0000 0.3419
453 08-123 1226 13-69 0.3148 0.6852 0.0000 0.3426
453 08-123 1227 13-67 0.3067 0.6933 0.0000 0.3466
453 08-123 1228 13-41 0.3249 0.6751 0.0000 0.3375
453 08-123 1229 13-28 0.3238 0.6762 0.0000 0.3381
453 08-123 1230 13-02 0.3352 0.6648 0.0000 0.3324
453 08-123 1231 13-19 0.3122 0.6878 0.0000 0.3439
453 08-123 1232 13-13 0.3317 0.6683 0.0000 0.3342
453 08-123 1233 13-30 0.3060 0.6940 0.0000 0.3470
453 08-123 1234 13-32 0.3190 0.6810 0.0000 0.3405
453 08-123 1235 03-19 0.3104 0.6896 0.0000 0.3448
453 08-123 1236 13-45 0.3087 0.6913 0.0000 0.3457
453 08-123 1237 13-50 0.3457 0.6543 0.0000 0.3271
453 08-123 1238 13-66 0.3180 0.6820 0.0000 0.3410
453 08-123 1239 13-65 0.3143 0.6857 0.0000 0.3429
453 08-123 1240 13-46 0.2983 0.7017 0.0000 0.3509
453 08-123 1241 13-48 0.3100 0.6900 0.0000 0.3450
453 08-123 1242 13-71 0.3360 0.6640 0.0000 0.3320
453 08-123 1243 13-72 0.2984 0.7016 0.0000 0.3508
453 08-123 1244 13-73 0.3338 0.6662 0.0000 0.3331
453 08-123 1245 13-17 0.2999 0.7001 0.0000 0.3500
453 08-123 1246 13-16 0.3283 0.6717 0.0000 0.3358
453 08-123 1247 13-01 0.3121 0.6879 0.0000 0.3439
454 08-244 499 08-701 0.5871 0.4129 0.0000 0.2065
454 08-244 550 20-05 0.3139 0.6861 0.0000 0.3430
454 08-244 840 08-25 0.3588 0.6412 0.0000 0.3206
454 08-244 862 08-495 0.5019 0.4981 0.0000 0.2491
454 08-244 1094 08-86 0.4547 0.5453 0.0000 0.2727
455 08-259 499 08-701 0.5745 0.4255 0.0000 0.2128
455 08-259 550 20-05 0.3002 0.6998 0.0000 0.3499
455 08-259 840 08-25 0.3515 0.6485 0.0000 0.3243
455 08-259 862 08-495 0.4876 0.5124 0.0000 0.2562
455 08-259 1094 08-86 0.4718 0.5282 0.0000 0.2641
456 08-270 499 08-701 0.5860 0.4140 0.0000 0.2070
456 08-270 550 20-05 0.3100 0.6900 0.0000 0.3450
456 08-270 840 08-25 0.3515 0.6485 0.0000 0.3243
456 08-270 862 08-495 0.4788 0.5212 0.0000 0.2606
456 08-270 1094 08-86 0.4135 0.5865 0.0000 0.2932
457 08-31 499 08-701 0.6003 0.3997 0.0000 0.1999
457 08-31 550 20-05 0.3097 0.6903 0.0000 0.3451
457 08-31 840 08-25 0.3440 0.6560 0.0000 0.3280
457 08-31 862 08-495 0.4642 0.5358 0.0000 0.2679
457 08-31 1094 08-86 0.4526 0.5474 0.0000 0.2737
458 08-365 499 08-701 0.0477 0.9007 0.0516 0.5019
458 08-365 840 08-25 0.0584 0.8585 0.0831 0.5124
458 08-365 862 08-495 0.0936 0.9036 0.0028 0.4546
458 08-365 886 08-77 0.0000 1.0000 0.0000 0.5000
458 08-365 898 08-825 0.0411 0.8399 0.1190 0.5390
458 08-365 910 12-11 0.0000 1.0000 0.0000 0.5000
459 08-366 499 08-701 0.5877 0.4123 0.0000 0.2062
459 08-366 550 20-05 0.3114 0.6886 0.0000 0.3443
459 08-366 840 08-25 0.3547 0.6453 0.0000 0.3227
459 08-366 862 08-495 0.4846 0.5154 0.0000 0.2577
459 08-366 1094 08-86 0.4545 0.5455 0.0000 0.2727
460 08-37 499 08-701 0.5909 0.4091 0.0000 0.2046
460 08-37 550 20-05 0.3219 0.6781 0.0000 0.3391
460 08-37 840 08-25 0.3350 0.6650 0.0000 0.3325
460 08-37 862 08-495 0.4952 0.5048 0.0000 0.2524
460 08-37 1094 08-86 0.4321 0.5679 0.0000 0.2840
461 08-434 499 08-701 0.5961 0.4039 0.0000 0.2019
461 08-434 550 20-05 0.3156 0.6844 0.0000 0.3422
461 08-434 840 08-25 0.3717 0.6283 0.0000 0.3141
461 08-434 862 08-495 0.4844 0.5156 0.0000 0.2578
461 08-434 1094 08-86 0.4770 0.5230 0.0000 0.2615
462 08-44 499 08-701 0.5807 0.4193 0.0000 0.2096
462 08-44 550 20-05 0.3004 0.6996 0.0000 0.3498
462 08-44 840 08-25 0.3464 0.6536 0.0000 0.3268
462 08-44 862 08-495 0.4849 0.5151 0.0000 0.2576
462 08-44 1094 08-86 0.4794 0.5206 0.0000 0.2603
463 08-442 499 08-701 0.5910 0.4090 0.0000 0.2045
463 08-442 550 20-05 0.3042 0.6958 0.0000 0.3479
463 08-442 840 08-25 0.3390 0.6610 0.0000 0.3305
463 08-442 862 08-495 0.4912 0.5088 0.0000 0.2544
463 08-442 1094 08-86 0.4750 0.5250 0.0000 0.2625
464 08-449 499 08-701 0.5889 0.4111 0.0000 0.2055
464 08-449 550 20-05 0.3078 0.6922 0.0000 0.3461
464 08-449 840 08-25 0.3424 0.6576 0.0000 0.3288
464 08-449 862 08-495 0.4975 0.5025 0.0000 0.2512
464 08-449 1094 08-86 0.4455 0.5545 0.0000 0.2772
465 08-452 499 08-701 0.5940 0.4060 0.0000 0.2030
465 08-452 550 20-05 0.3132 0.6868 0.0000 0.3434
465 08-452 840 08-25 0.3518 0.6482 0.0000 0.3241
465 08-452 862 08-495 0.4920 0.5080 0.0000 0.2540
465 08-452 1094 08-86 0.4617 0.5383 0.0000 0.2692
466 08-453 499 08-701 0.5992 0.4008 0.0000 0.2004
466 08-453 550 20-05 0.3359 0.6641 0.0000 0.3320
466 08-453 840 08-25 0.3600 0.6400 0.0000 0.3200
466 08-453 862 08-495 0.4893 0.5107 0.0000 0.2553
466 08-453 1094 08-86 0.4366 0.5634 0.0000 0.2817
467 08-457 499 08-701 0.5884 0.4116 0.0000 0.2058
467 08-457 550 20-05 0.3053 0.6947 0.0000 0.3473
467 08-457 840 08-25 0.3438 0.6562 0.0000 0.3281
467 08-457 862 08-495 0.4815 0.5185 0.0000 0.2593
467 08-457 1094 08-86 0.4700 0.5300 0.0000 0.2650
468 08-459 499 08-701 0.5949 0.4051 0.0000 0.2026
468 08-459 550 20-05 0.3209 0.6791 0.0000 0.3395
468 08-459 840 08-25 0.3560 0.6440 0.0000 0.3220
468 08-459 862 08-495 0.5049 0.4951 0.0000 0.2476
468 08-459 1094 08-86 0.4428 0.5572 0.0000 0.2786
469 08-460 499 08-701 0.5725 0.4275 0.0000 0.2138
469 08-460 550 20-05 0.3039 0.6961 0.0000 0.3481
469 08-460 840 08-25 0.3257 0.6743 0.0000 0.3371
469 08-460 862 08-495 0.4911 0.5089 0.0000 0.2545
469 08-460 1094 08-86 0.4812 0.5188 0.0000 0.2594
470 08-472 499 08-701 0.6061 0.3939 0.0000 0.1969
470 08-472 550 20-05 0.2965 0.7035 0.0000 0.3517
470 08-472 840 08-25 0.3375 0.6625 0.0000 0.3313
470 08-472 862 08-495 0.4987 0.5013 0.0000 0.2506
470 08-472 1094 08-86 0.4680 0.5320 0.0000 0.2660
471 08-474 499 08-701 0.5774 0.4226 0.0000 0.2113
471 08-474 550 20-05 0.2970 0.7030 0.0000 0.3515
471 08-474 840 08-25 0.3555 0.6445 0.0000 0.3222
471 08-474 862 08-495 0.4702 0.5298 0.0000 0.2649
471 08-474 1094 08-86 0.4478 0.5522 0.0000 0.2761
472 08-475 499 08-701 0.5961 0.4039 0.0000 0.2019
472 08-475 550 20-05 0.3008 0.6992 0.0000 0.3496
472 08-475 840 08-25 0.3408 0.6592 0.0000 0.3296
472 08-475 862 08-495 0.4915 0.5085 0.0000 0.2542
472 08-475 1094 08-86 0.4463 0.5537 0.0000 0.2769
473 08-489 499 08-701 0.6698 0.3302 0.0000 0.1651
473 08-489 550 20-05 0.3545 0.6455 0.0000 0.3227
473 08-489 840 08-25 0.3557 0.6443 0.0000 0.3221
473 08-489 862 08-495 0.5082 0.4918 0.0000 0.2459
473 08-489 1094 08-86 0.5715 0.4285 0.0000 0.2142
474 08-49 499 08-701 0.5748 0.4252 0.0000 0.2126
474 08-49 550 20-05 0.3099 0.6901 0.0000 0.3451
474 08-49 840 08-25 0.3366 0.6634 0.0000 0.3317
474 08-49 862 08-495 0.4805 0.5195 0.0000 0.2598
474 08-49 1094 08-86 0.4212 0.5788 0.0000 0.2894
475 08-496 499 08-701 0.5948 0.4052 0.0000 0.2026
475 08-496 550 20-05 0.3090 0.6910 0.0000 0.3455
475 08-496 840 08-25 0.3427 0.6573 0.0000 0.3286
475 08-496 862 08-495 0.4668 0.5332 0.0000 0.2666
475 08-496 1094 08-86 0.4686 0.5314 0.0000 0.2657
476 08-500 499 08-701 0.5749 0.4251 0.0000 0.2125
476 08-500 550 20-05 0.2886 0.7114 0.0000 0.3557
476 08-500 840 08-25 0.3389 0.6611 0.0000 0.3306
476 08-500 862 08-495 0.4770 0.5230 0.0000 0.2615
476 08-500 1094 08-86 0.4514 0.5486 0.0000 0.2743
477 08-519 499 08-701 0.5794 0.4206 0.0000 0.2103
477 08-519 550 20-05 0.3201 0.6799 0.0000 0.3400
477 08-519 840 08-25 0.3355 0.6645 0.0000 0.3323
477 08-519 862 08-495 0.4882 0.5118 0.0000 0.2559
477 08-519 1094 08-86 0.4385 0.5615 0.0000 0.2808
478 08-522 499 08-701 0.5809 0.4191 0.0000 0.2095
478 08-522 550 20-05 0.3169 0.6831 0.0000 0.3415
478 08-522 840 08-25 0.3408 0.6592 0.0000 0.3296
478 08-522 862 08-495 0.4849 0.5151 0.0000 0.2576
478 08-522 1094 08-86 0.4376 0.5624 0.0000 0.2812
479 08-527 499 08-701 0.6093 0.3907 0.0000 0.1954
479 08-527 550 20-05 0.3100 0.6900 0.0000 0.3450
479 08-527 840 08-25 0.3594 0.6406 0.0000 0.3203
479 08-527 862 08-495 0.4946 0.5054 0.0000 0.2527
479 08-527 1094 08-86 0.4603 0.5397 0.0000 0.2699
480 08-528 499 08-701 0.5706 0.4294 0.0000 0.2147
480 08-528 550 20-05 0.2868 0.7132 0.0000 0.3566
480 08-528 840 08-25 0.3525 0.6475 0.0000 0.3238
480 08-528 862 08-495 0.4555 0.5445 0.0000 0.2722
480 08-528 1094 08-86 0.4517 0.5483 0.0000 0.2741
481 08-530 499 08-701 0.5649 0.4351 0.0000 0.2176
481 08-530 550 20-05 0.3284 0.6716 0.0000 0.3358
481 08-530 840 08-25 0.3311 0.6689 0.0000 0.3345
481 08-530 862 08-495 0.4762 0.5238 0.0000 0.2619
481 08-530 1094 08-86 0.4633 0.5367 0.0000 0.2684
482 08-531 499 08-701 0.5969 0.4031 0.0000 0.2016
482 08-531 550 20-05 0.3338 0.6662 0.0000 0.3331
482 08-531 840 08-25 0.3528 0.6472 0.0000 0.3236
482 08-531 862 08-495 0.4789 0.5211 0.0000 0.2605
482 08-531 1094 08-86 0.4492 0.5508 0.0000 0.2754
483 08-539 499 08-701 0.5838 0.4162 0.0000 0.2081
483 08-539 550 20-05 0.3224 0.6776 0.0000 0.3388
483 08-539 840 08-25 0.3494 0.6506 0.0000 0.3253
483 08-539 862 08-495 0.4933 0.5067 0.0000 0.2534
483 08-539 1094 08-86 0.4678 0.5322 0.0000 0.2661
484 08-542 499 08-701 0.5897 0.4103 0.0000 0.2051
484 08-542 550 20-05 0.3250 0.6750 0.0000 0.3375
484 08-542 840 08-25 0.3433 0.6567 0.0000 0.3284
484 08-542 862 08-495 0.4954 0.5046 0.0000 0.2523
484 08-542 1094 08-86 0.4675 0.5325 0.0000 0.2663
485 08-543 499 08-701 0.5994 0.4006 0.0000 0.2003
485 08-543 550 20-05 0.3015 0.6985 0.0000 0.3493
485 08-543 840 08-25 0.3394 0.6606 0.0000 0.3303
485 08-543 862 08-495 0.4817 0.5183 0.0000 0.2591
485 08-543 1094 08-86 0.4634 0.5366 0.0000 0.2683
486 08-544 499 08-701 0.6042 0.3958 0.0000 0.1979
486 08-544 550 20-05 0.3138 0.6862 0.0000 0.3431
486 08-544 840 08-25 0.3631 0.6369 0.0000 0.3184
486 08-544 862 08-495 0.4883 0.5117 0.0000 0.2559
486 08-544 1094 08-86 0.4542 0.5458 0.0000 0.2729
487 08-548 499 08-701 0.5852 0.4148 0.0000 0.2074
487 08-548 550 20-05 0.3014 0.6986 0.0000 0.3493
487 08-548 840 08-25 0.3502 0.6498 0.0000 0.3249
487 08-548 862 08-495 0.4651 0.5349 0.0000 0.2674
487 08-548 1094 08-86 0.4325 0.5675 0.0000 0.2838
488 08-549 499 08-701 0.5805 0.4195 0.0000 0.2097
488 08-549 550 20-05 0.3002 0.6998 0.0000 0.3499
488 08-549 840 08-25 0.3592 0.6408 0.0000 0.3204
488 08-549 862 08-495 0.4769 0.5231 0.0000 0.2615
488 08-549 1094 08-86 0.4637 0.5363 0.0000 0.2682
489 08-557 499 08-701 0.6086 0.3914 0.0000 0.1957
489 08-557 550 20-05 0.3304 0.6696 0.0000 0.3348
489 08-557 840 08-25 0.3351 0.6649 0.0000 0.3324
489 08-557 862 08-495 0.4873 0.5127 0.0000 0.2563
489 08-557 1094 08-86 0.4893 0.5107 0.0000 0.2554
490 08-561 499 08-701 0.5898 0.4102 0.0000 0.2051
490 08-561 550 20-05 0.3127 0.6873 0.0000 0.3436
490 08-561 840 08-25 0.3642 0.6358 0.0000 0.3179
490 08-561 862 08-495 0.4757 0.5243 0.0000 0.2621
490 08-561 1094 08-86 0.4808 0.5192 0.0000 0.2596
491 08-566 499 08-701 0.5694 0.4306 0.0000 0.2153
491 08-566 550 20-05 0.3104 0.6896 0.0000 0.3448
491 08-566 840 08-25 0.3385 0.6615 0.0000 0.3308
491 08-566 862 08-495 0.4800 0.5200 0.0000 0.2600
491 08-566 1094 08-86 0.4459 0.5541 0.0000 0.2770
492 08-567 499 08-701 0.5658 0.4342 0.0000 0.2171
492 08-567 550 20-05 0.3138 0.6862 0.0000 0.3431
492 08-567 840 08-25 0.3456 0.6544 0.0000 0.3272
492 08-567 862 08-495 0.4863 0.5137 0.0000 0.2568
492 08-567 1094 08-86 0.4704 0.5296 0.0000 0.2648
493 08-569 499 08-701 0.5974 0.4026 0.0000 0.2013
493 08-569 550 20-05 0.3153 0.6847 0.0000 0.3424
493 08-569 840 08-25 0.3460 0.6540 0.0000 0.3270
493 08-569 862 08-495 0.5071 0.4929 0.0000 0.2464
493 08-569 1094 08-86 0.5262 0.4738 0.0000 0.2369
494 08-573 499 08-701 0.5872 0.4128 0.0000 0.2064
494 08-573 550 20-05 0.3228 0.6772 0.0000 0.3386
494 08-573 840 08-25 0.3450 0.6550 0.0000 0.3275
494 08-573 862 08-495 0.4944 0.5056 0.0000 0.2528
494 08-573 1094 08-86 0.4733 0.5267 0.0000 0.2633
495 08-586 499 08-701 0.5876 0.4124 0.0000 0.2062
495 08-586 550 20-05 0.3005 0.6995 0.0000 0.3497
495 08-586 840 08-25 0.3388 0.6612 0.0000 0.3306
495 08-586 862 08-495 0.5019 0.4981 0.0000 0.2490
495 08-586 1094 08-86 0.4507 0.5493 0.0000 0.2747
496 08-611 499 08-701 0.5650 0.4350 0.0000 0.2175
496 08-611 550 20-05 0.2951 0.7049 0.0000 0.3524
496 08-611 840 08-25 0.3515 0.6485 0.0000 0.3243
496 08-611 862 08-495 0.4831 0.5169 0.0000 0.2584
496 08-611 1094 08-86 0.4539 0.5461 0.0000 0.2731
497 08-697 499 08-701 0.6045 0.3955 0.0000 0.1978
497 08-697 550 20-05 0.2892 0.7108 0.0000 0.3554
497 08-697 840 08-25 0.3429 0.6571 0.0000 0.3286
497 08-697 862 08-495 0.4885 0.5115 0.0000 0.2558
497 08-697 1094 08-86 0.4628 0.5372 0.0000 0.2686
498 08-700 499 08-701 0.5563 0.4437 0.0000 0.2219
498 08-700 550 20-05 0.3000 0.7000 0.0000 0.3500
498 08-700 840 08-25 0.3420 0.6580 0.0000 0.3290
498 08-700 862 08-495 0.4633 0.5367 0.0000 0.2684
498 08-700 1094 08-86 0.4603 0.5397 0.0000 0.2698
499 08-701 500 08-707 0.6205 0.3795 0.0000 0.1898
499 08-701 501 08-708 0.6092 0.3908 0.0000 0.1954
499 08-701 502 08-711 0.5861 0.4139 0.0000 0.2069
499 08-701 503 08-714 0.5736 0.4264 0.0000 0.2132
499 08-701 504 08-715 0.5761 0.4239 0.0000 0.2120
499 08-701 505 08-716 0.5820 0.4180 0.0000 0.2090
499 08-701 506 08-717 0.6033 0.3967 0.0000 0.1983
499 08-701 507 08-72 0.5622 0.4378 0.0000 0.2189
499 08-701 508 08-721 0.6169 0.3831 0.0000 0.1916
499 08-701 509 08-722 0.5933 0.4067 0.0000 0.2034
499 08-701 510 08-723 0.5713 0.4287 0.0000 0.2144
499 08-701 511 08-730 0.5852 0.4148 0.0000 0.2074
499 08-701 512 08-735 0.5703 0.4297 0.0000 0.2149
499 08-701 513 08-745 0.5970 0.4030 0.0000 0.2015
499 08-701 514 08-746 0.6568 0.3432 0.0000 0.1716
499 08-701 515 08-748 0.5953 0.4047 0.0000 0.2024
499 08-701 516 08-75 0.6082 0.3918 0.0000 0.1959
499 08-701 517 08-753 0.6060 0.3940 0.0000 0.1970
499 08-701 518 08-757 0.6183 0.3817 0.0000 0.1908
499 08-701 519 08-770d 0.5781 0.4219 0.0000 0.2109
499 08-701 520 08-83 0.5740 0.4260 0.0000 0.2130
499 08-701 521 08-84 0.6041 0.3959 0.0000 0.1979
499 08-701 522 08-97 0.5786 0.4214 0.0000 0.2107
499 08-701 523 09-14 0.5866 0.4134 0.0000 0.2067
499 08-701 524 09-37d 0.5889 0.4111 0.0000 0.2055
499 08-701 525 14-18 0.5876 0.4124 0.0000 0.2062
499 08-701 526 14-27m 0.5705 0.4295 0.0000 0.2147
499 08-701 527 14-71m 0.5788 0.4212 0.0000 0.2106
499 08-701 528 08-607 0.5789 0.4211 0.0000 0.2105
499 08-701 529 08-606 0.5663 0.4337 0.0000 0.2168
499 08-701 530 08-494 0.6115 0.3885 0.0000 0.1943
499 08-701 531 08-36 0.5917 0.4083 0.0000 0.2042
499 08-701 532 08-736 0.6405 0.3595 0.0000 0.1797
499 08-701 533 08-571 0.5682 0.4318 0.0000 0.2159
499 08-701 534 08-575 0.5935 0.4065 0.0000 0.2032
499 08-701 535 08-39 0.6089 0.3911 0.0000 0.1956
499 08-701 536 04-11 0.5870 0.4130 0.0000 0.2065
499 08-701 537 08-481 0.5857 0.4143 0.0000 0.2071
499 08-701 538 08-734 0.6095 0.3905 0.0000 0.1953
499 08-701 539 08-467 0.6068 0.3932 0.0000 0.1966
499 08-701 540 08-552 0.5694 0.4306 0.0000 0.2153
499 08-701 541 08-612 0.6716 0.3284 0.0000 0.1642
499 08-701 542 08-473 0.6009 0.3991 0.0000 0.1996
499 08-701 543 07-56 0.5663 0.4337 0.0000 0.2169
499 08-701 544 08-703 0.5750 0.4250 0.0000 0.2125
499 08-701 545 15-24m 0.5982 0.4018 0.0000 0.2009
499 08-701 546 08-277 0.6040 0.3960 0.0000 0.1980
499 08-701 547 08-593 0.5803 0.4197 0.0000 0.2099
499 08-701 548 14-20m 0.6366 0.3634 0.0000 0.1817
499 08-701 549 15-13m 0.5644 0.4356 0.0000 0.2178
499 08-701 550 20-05 0.2935 0.7065 0.0000 0.3532
499 08-701 551 08-161 0.5912 0.4088 0.0000 0.2044
499 08-701 552 14-117m 0.6163 0.3837 0.0000 0.1919
499 08-701 553 08-182 0.5984 0.4016 0.0000 0.2008
499 08-701 554 12-03 0.6037 0.3963 0.0000 0.1982
499 08-701 555 14-21 0.6025 0.3975 0.0000 0.1988
499 08-701 556 15-15m 0.6108 0.3892 0.0000 0.1946
